adress,rait,rait_count,link,closing_time,category,Cluster_KMeans,Cluster_DBSCAN
"Гражданский просп., 34, Белгород",5.0,2059,https://yandex.ru/maps/org/forest_grill/126721151869,00:00,Ресторан,1,-1
"ул. Победы, 104, Белгород",5.0,457,https://yandex.ru/maps/org/kofe_i_babbl_ti/96222984660,21:00,Кофейня,2,0
"Корочанская ул., 39В, Белгород",5.0,2309,https://yandex.ru/maps/org/barashek/33147398141,00:00,Ресторан,1,-1
"ул. Попова, 36, Белгород",5.0,1027,https://yandex.ru/maps/org/midiynoye_mesto/62180282954,23:00,Ресторан,2,0
"ул. Мичурина, 52, Белгород, этаж 1",5.0,1214,https://yandex.ru/maps/org/kofe_vino/220415394217,23:00,Кофейня,2,0
"просп. Богдана Хмельницкого, 137Т, Белгород, ТЦ Мегагринн, этаж 4",5.0,129,https://yandex.ru/maps/org/tashir_pitstsa/1149163019,22:00,Пиццерия,2,0
"ул. Костюкова, 69, Белгород, этаж 1",5.0,1736,https://yandex.ru/maps/org/komod/1774277670,23:00,Кофейня,1,1
"Волчанская ул., 292Б, Белгород, этаж 1",4.9,3061,https://yandex.ru/maps/org/les_i_lis/60532692927,23:00,Ресторан,1,-1
"ул. Горького, 76А, Белгород",4.9,262,https://yandex.ru/maps/org/para_pitstsa/86691904853,22:00,Доставка еды и обедов,2,0
"ул. Губкина, 17И, Белгород, этаж 1",4.9,115,https://yandex.ru/maps/org/grin_fish/45623384314,22:45,Доставка еды и обедов,2,0
"Студенческая ул., 6Б, Белгород, этаж 1",4.9,431,https://yandex.ru/maps/org/katana/229212157130,22:45,Доставка еды и обедов,2,0
"Волчанская ул., 280А, Белгород",4.9,1062,https://yandex.ru/maps/org/vereteno/1232425820,00:00,Ресторан,2,0
"Преображенская ул., 86, Белгород",4.9,688,https://yandex.ru/maps/org/vinograd/28691424978,00:00,Ресторан,2,0
"Магистральная ул., 8, рабочий посёлок Северный, г. Белгород, пр-кт. Б. Хмельницкого, 60а",4.9,333,https://yandex.ru/maps/org/lazy_food/209460072215,22:00,Доставка еды и обедов,2,0
"3-я Апрельская ул., 17, посёлок Новосадовый",4.9,231,https://yandex.ru/maps/org/kroko_pitstsa_i_rolly/71387964316,21:30,Доставка еды и обедов,2,0
"бул. Юности, 2, Белгород, этаж 1",4.8,118,https://yandex.ru/maps/org/sashimi/54126388682,21:41,Доставка еды и обедов,2,0
"Зелёный пер., 1А, село Соломино, помещение 2",4.8,798,https://yandex.ru/maps/org/galereya/149854503334,00:00,Ресторан,2,0
